RTEClassifier
Training classifier...
  ==> Training (100 iterations)

      Iteration    Log Likelihood    Accuracy
      ---------------------------------------
             1          -0.69315        0.512
             2          -0.67675        0.603
             3          -0.66422        0.615
             4          -0.65429        0.617
             5          -0.64635        0.614
             6          -0.63995        0.612
             7          -0.63471        0.612
             8          -0.63039        0.608
             9          -0.62677        0.607
            10          -0.62372        0.607
            11          -0.62113        0.608
            12          -0.61890        0.608
            13          -0.61697        0.608
            14          -0.61530        0.608
            15          -0.61383        0.610
            16          -0.61253        0.610
            17          -0.61138        0.610
            18          -0.61036        0.610
            19          -0.60945        0.610
            20          -0.60863        0.610
            21          -0.60788        0.610
            22          -0.60721        0.611
            23          -0.60660        0.611
            24          -0.60604        0.611
            25          -0.60553        0.612
            26          -0.60506        0.610
            27          -0.60462        0.610
            28          -0.60422        0.610
            29          -0.60385        0.610
            30          -0.60351        0.610
            31          -0.60318        0.611
            32          -0.60288        0.611
            33          -0.60260        0.611
            34          -0.60234        0.611
            35          -0.60209        0.612
            36          -0.60185        0.612
            37          -0.60163        0.612
            38          -0.60142        0.612
            39          -0.60123        0.612
            40          -0.60104        0.612
            41          -0.60086        0.612
            42          -0.60069        0.612
            43          -0.60053        0.612
            44          -0.60037        0.612
            45          -0.60022        0.612
            46          -0.60008        0.612
            47          -0.59995        0.612
            48          -0.59982        0.612
            49          -0.59969        0.612
            50          -0.59957        0.612
            51          -0.59946        0.611
            52          -0.59935        0.611
            53          -0.59924        0.611
            54          -0.59913        0.611
            55          -0.59903        0.611
            56          -0.59894        0.611
            57          -0.59884        0.611
            58          -0.59875        0.611
            59          -0.59867        0.611
            60          -0.59858        0.612
            61          -0.59850        0.612
            62          -0.59842        0.612
            63          -0.59834        0.612
            64          -0.59827        0.612
            65          -0.59819        0.612
            66          -0.59812        0.612
            67          -0.59805        0.612
            68          -0.59799        0.612
            69          -0.59792        0.612
            70          -0.59786        0.612
            71          -0.59779        0.612
            72          -0.59773        0.612
            73          -0.59767        0.612
            74          -0.59762        0.612
            75          -0.59756        0.612
            76          -0.59751        0.612
            77          -0.59745        0.612
            78          -0.59740        0.612
            79          -0.59735        0.612
            80          -0.59730        0.612
            81          -0.59725        0.612
            82          -0.59720        0.612
            83          -0.59715        0.612
            84          -0.59711        0.612
            85          -0.59706        0.612
            86          -0.59702        0.612
            87          -0.59698        0.612
            88          -0.59693        0.612
            89          -0.59689        0.612
            90          -0.59685        0.612
            91          -0.59681        0.612
            92          -0.59677        0.612
            93          -0.59673        0.612
            94          -0.59670        0.612
            95          -0.59666        0.612
            96          -0.59662        0.612
            97          -0.59659        0.612
            98          -0.59655        0.612
            99          -0.59652        0.612
         Final          -0.59648        0.612
Testing classifier...
Accuracy: 0.5592
length of train tweets 8
length of test tweets 2
  ==> Training (100 iterations)

      Iteration    Log Likelihood    Accuracy
      ---------------------------------------
             1          -0.69315        0.625
             2          -0.43828        1.000
             3          -0.32255        1.000
             4          -0.25509        1.000
             5          -0.21087        1.000
             6          -0.17966        1.000
             7          -0.15646        1.000
             8          -0.13855        1.000
             9          -0.12430        1.000
            10          -0.11270        1.000
            11          -0.10307        1.000
            12          -0.09496        1.000
            13          -0.08802        1.000
            14          -0.08203        1.000
            15          -0.07680        1.000
            16          -0.07219        1.000
            17          -0.06810        1.000
            18          -0.06446        1.000
            19          -0.06118        1.000
            20          -0.05821        1.000
            21          -0.05552        1.000
            22          -0.05307        1.000
            23          -0.05083        1.000
            24          -0.04876        1.000
            25          -0.04686        1.000
            26          -0.04510        1.000
            27          -0.04347        1.000
            28          -0.04195        1.000
            29          -0.04053        1.000
            30          -0.03921        1.000
            31          -0.03797        1.000
            32          -0.03681        1.000
            33          -0.03571        1.000
            34          -0.03468        1.000
            35          -0.03370        1.000
            36          -0.03278        1.000
            37          -0.03191        1.000
            38          -0.03108        1.000
            39          -0.03030        1.000
            40          -0.02955        1.000
            41          -0.02884        1.000
            42          -0.02816        1.000
            43          -0.02752        1.000
            44          -0.02690        1.000
            45          -0.02631        1.000
            46          -0.02575        1.000
            47          -0.02520        1.000
            48          -0.02469        1.000
            49          -0.02419        1.000
            50          -0.02371        1.000
            51          -0.02325        1.000
            52          -0.02281        1.000
            53          -0.02238        1.000
            54          -0.02197        1.000
            55          -0.02158        1.000
            56          -0.02119        1.000
            57          -0.02083        1.000
            58          -0.02047        1.000
            59          -0.02013        1.000
            60          -0.01979        1.000
            61          -0.01947        1.000
